Dilution Rates_trt,Dry Weight ,Final Dry Weight,
D0,14.88,7.404,7.476
D0,15.02,7.544,7.476
D0,15.69,8.214,7.476
D0,15.59,8.114,7.476
D0,14.72,7.244,7.476
D0,16.15,8.674,7.476
D0,14.29,6.814,7.476
D0,15.38,7.904,7.476
D0,15.17,7.694,7.476
D0,17.97,10.494,7.476
D0,15.71,8.234,7.476
D0,12.2,4.724,7.476
D0,16.81,9.334,7.476
D0,16.21,8.734,7.476
D0,14.04,6.564,7.476
D0,18.46,10.984,7.476
D0,17.97,10.494,7.476
D0,17.44,9.964,7.476
D0,11.67,4.194,7.476
D0,15.87,8.394,7.476
D0,12.46,4.984,7.476
D0,14.08,6.604,7.476
D0,14.98,7.504,7.476
D0,13.15,5.674,7.476
D0,11.19,3.714,7.476
D1,14.83,7.354,7.476
D1,16.28,8.804,7.476
D1,14.88,7.404,7.476
D1,16.48,9.004,7.476
D1,17.52,10.044,7.476
D1,15.01,7.534,7.476
D1,13.44,5.964,7.476
D1,17.01,9.534,7.476
D1,14.46,6.984,7.476
D1,14.71,7.234,7.476
D1,17.05,9.574,7.476
D1,15.85,8.374,7.476
D1,14.6,7.124,7.476
D1,13.96,6.484,7.476
D1,12.07,4.594,7.476
D2,14.6,7.124,7.476
D2,11.8,4.324,7.476
D2,14.28,6.804,7.476
D2,16.51,9.034,7.476
D2,18.64,11.164,7.476
D2 ,15.34,7.864,7.476
D2,14.14,6.664,7.476
D2,18.61,11.134,7.476
D2,18.3,10.824,7.476
D2,15.14,7.664,7.476
D2,14.96,7.484,7.476
D2,13.83,6.354,7.476
D2,11.07,3.594,7.476
D2,12.89,5.414,7.476
D2,11.71,4.234,7.476
D3,13.6,6.124,7.476
D3,15.66,8.184,7.476
D3,14.84,7.364,7.476
D3,12.6,5.124,7.476
D3,16.33,8.854,7.476
D3,16,8.524,7.476
D3,15.03,7.554,7.476
D3,16.98,9.504,7.476
D3,15.85,8.374,7.476
D3,16.41,8.934,7.476
D3,15.81,8.334,7.476
D3,17.33,9.854,7.476
D3,15.16,7.684,7.476
D3,13.81,6.334,7.476
D3,11.94,4.464,7.476
D4,15.26,7.784,7.476
D4,15.27,7.794,7.476
D4,15.59,8.114,7.476
D4,15.74,8.264,7.476
D4,15.97,8.494,7.476
D4,17.01,9.534,7.476
D4,11.56,4.084,7.476
D4,15.7,8.224,7.476
D4,N/A,N/A,7.476
D4,17.15,9.674,7.476
D4,17.3,9.824,7.476
D4,17.16,9.684,7.476
D4,13.21,5.734,7.476
D4,13.07,5.594,7.476
D4,14.62,7.144,7.476
D5,15.23,7.754,7.476
D5,17.17,9.694,7.476
D5,14.79,7.314,7.476
D5,17.04,9.564,7.476
D5,15.2,7.724,7.476
D5,13.39,5.914,7.476
D5,15.4,7.924,7.476
D5,15.3,7.824,7.476
D5,17.53,10.054,7.476
D5,20.09,12.614,7.476
D5,17.42,9.944,7.476
D5,16.24,8.764,7.476
D5,14.51,7.034,7.476
D5,12.07,4.594,7.476
D5,10.65,3.174,7.476